0:0:0:0:0:0:0:1 - - [20/Oct/2024:20:55:20 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:20:55:56 +0530] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:20:55:56 +0530] "GET / HTTP/1.1" 200 10557
0:0:0:0:0:0:0:1 - - [20/Oct/2024:20:55:56 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:20:55:59 +0530] "GET /dashboard HTTP/1.1" 200 24265
0:0:0:0:0:0:0:1 - - [20/Oct/2024:20:55:59 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:20:56:02 +0530] "GET /delete-user?id=24 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:20:56:02 +0530] "GET /logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:20:56:02 +0530] "GET /login HTTP/1.1" 200 10577
0:0:0:0:0:0:0:1 - - [20/Oct/2024:20:56:02 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:26 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:32 +0530] "GET /add-user HTTP/1.1" 200 14026
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:33 +0530] "GET /css/style.css HTTP/1.1" 404 225
